Event.Id,Event.Date,Year,Make,Model,Aircraft.Category,Amateur.Built,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Injury.Severity,Severity.Level,Outcome
20070703X00855,2007-06-19,2007,Cessna,195,Airplane,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Landing,Non-Fatal,None,Non-Fatal
20070927X01459,2007-06-19,2007,Mooney,M-20E,Airplane,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Takeoff,Non-Fatal,None,Non-Fatal
20070717X00951,2007-06-20,2007,Cessna,206,Airplane,No,1.0,Reciprocating,Aerial Observation,0.0,0.0,0.0,1.0,VMC,Descent,Non-Fatal,None,Non-Fatal
20070703X00854,2007-06-20,2007,Beech,B36TC,Airplane,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Takeoff,Non-Fatal,None,Non-Fatal
20070712X00921,2007-06-20,2007,Luscombe,8A,Airplane,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,Landing,Non-Fatal,Low,Non-Fatal
20070626X00809,2007-06-20,2007,Bell,BH206B-3,Helicopter,No,1.0,Turbo Jet,Aerial Observation,0.0,0.0,1.0,1.0,VMC,Maneuvering,Non-Fatal,Low,Non-Fatal
20070725X01013,2007-06-21,2007,Cessna,C152,Airplane,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Approach,Non-Fatal,None,Non-Fatal
20070723X00992,2007-06-22,2007,Cessna,182,Airplane,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Takeoff,Non-Fatal,None,Non-Fatal
20070705X00875,2007-06-22,2007,Beech,A36,Airplane,No,1.0,Reciprocating,Personal,0.0,2.0,0.0,0.0,VMC,Cruise,Non-Fatal,Medium,Non-Fatal
20070727X01030,2007-06-22,2007,Piper,PA-32-301T,Airplane,No,1.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,VMC,Climb,Non-Fatal,Low,Non-Fatal
20070628X00837,2007-06-22,2007,Piper,PA-30,Airplane,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,Approach,Non-Fatal,None,Non-Fatal
